Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2025-11-28T14:32:13+0000,Trade,Sell to Close,SELL_TO_CLOSE,TSLA  251219P00380000,Equity Option,Sold 1 TSLA 12/19/25 Put 380.00 @ 4.06,406.00,1,406.00,0.00,-0.12,100,TSLA,TSLA,12/19/25,380.0,PUT,419537648,405.88,USD
2025-11-28T14:32:13+0000,Trade,Sell to Close,SELL_TO_CLOSE,TSLA  251219C00535000,Equity Option,Sold 1 TSLA 12/19/25 Call 535.00 @ 1.28,128.00,1,128.00,0.00,-0.12,100,TSLA,TSLA,12/19/25,535.0,CALL,419537648,127.88,USD
2025-11-28T14:32:13+0000,Trade,Buy to Close,BUY_TO_CLOSE,TSLA  251219P00385000,Equity Option,Bought 1 TSLA 12/19/25 Put 385.00 @ 4.79,-479.00,1,-479.00,0.00,-0.12,100,TSLA,TSLA,12/19/25,385.0,PUT,419537648,-479.12,USD
2025-11-28T14:32:13+0000,Trade,Buy to Close,BUY_TO_CLOSE,TSLA  251219C00530000,Equity Option,Bought 1 TSLA 12/19/25 Call 530.00 @ 1.46,-146.00,1,-146.00,0.00,-0.12,100,TSLA,TSLA,12/19/25,530.0,CALL,419537648,-146.12,USD
2025-11-26T17:55:02+0000,Trade,Sell to Close,SELL_TO_CLOSE,SPY   260102C00690000,Equity Option,Sold 1 SPY 01/02/26 Call 690.00 @ 7.87,787.00,1,787.00,0.00,-0.12,100,SPY,SPY,1/02/26,690.0,CALL,423471077,786.88,USD
2025-11-26T17:55:02+0000,Trade,Buy to Close,BUY_TO_CLOSE,SPY   260102C00685000,Equity Option,Bought 1 SPY 01/02/26 Call 685.00 @ 10.46,"-1,046.00",1,"-1,046.00",0.00,-0.12,100,SPY,SPY,1/02/26,685.0,CALL,423471077,"-1,046.12",USD
2025-11-22T21:21:08+0000,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2025-11-21T16:59:44+0000,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  251121C06570000,Equity Option,Sold 1 SPX 11/21/25 Call 6570.00 @ 57.73,"5,773.00",1,"5,773.00",0.00,-0.77,100,SPXW,SPX,11/21/25,6570.0,CALL,422506075,"5,772.23",USD
2025-11-21T16:59:44+0000,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  251121C06565000,Equity Option,Bought 1 SPX 11/21/25 Call 6565.00 @ 61.93,"-6,193.00",1,"-6,193.00",0.00,-0.77,100,SPXW,SPX,11/21/25,6565.0,CALL,422506075,"-6,193.77",USD
2025-11-21T15:17:51+0000,Trade,Buy to Open,BUY_TO_OPEN,SPXW  251121C06570000,Equity Option,Bought 1 SPX 11/21/25 Call 6570.00 @ 18.32,"-1,832.00",1,"-1,832.00",-1.00,-0.77,100,SPXW,SPX,11/21/25,6570.0,CALL,422413476,"-1,833.77",USD
2025-11-21T15:17:51+0000,Trade,Sell to Open,SELL_TO_OPEN,SPXW  251121C06565000,Equity Option,Sold 1 SPX 11/21/25 Call 6565.00 @ 20.27,"2,027.00",1,"2,027.00",-1.00,-0.77,100,SPXW,SPX,11/21/25,6565.0,CALL,422413476,"2,025.23",USD
2025-11-20T20:24:55+0000,Trade,Sell to Close,SELL_TO_CLOSE,AMD   260102C00265000,Equity Option,Sold 1 AMD 01/02/26 Call 265.00 @ 2.65,265.00,1,265.00,0.00,-0.12,100,AMD,AMD,1/02/26,265.0,CALL,422270654,264.88,USD
2025-11-20T20:24:55+0000,Trade,Buy to Close,BUY_TO_CLOSE,AMD   260102C00260000,Equity Option,Bought 1 AMD 01/02/26 Call 260.00 @ 3.18,-318.00,1,-318.00,0.00,-0.12,100,AMD,AMD,1/02/26,260.0,CALL,422270654,-318.12,USD
2025-11-20T14:32:03+0000,Trade,Buy to Close,BUY_TO_CLOSE,INTC  251219C00042000,Equity Option,Bought 1 INTC 12/19/25 Call 42.00 @ 0.66,-66.00,1,-66.00,0.00,-0.12,100,INTC,INTC,12/19/25,42.0,CALL,421973662,-66.12,USD
2025-11-20T14:32:03+0000,Trade,Buy to Close,BUY_TO_CLOSE,INTC  251219P00031000,Equity Option,Bought 1 INTC 12/19/25 Put 31.00 @ 0.44,-44.00,1,-44.00,0.00,-0.12,100,INTC,INTC,12/19/25,31.0,PUT,421973662,-44.12,USD
2025-11-20T14:31:50+0000,Trade,Sell to Close,SELL_TO_CLOSE,NVDA  251219P00171000,Equity Option,Sold 1 NVDA 12/19/25 Put 171.00 @ 2.12,212.00,1,212.00,0.00,-0.12,100,NVDA,NVDA,12/19/25,171.0,PUT,421973136,211.88,USD
2025-11-20T14:31:50+0000,Trade,Buy to Close,BUY_TO_CLOSE,NVDA  251219P00176000,Equity Option,Bought 1 NVDA 12/19/25 Put 176.00 @ 2.98,-298.00,1,-298.00,0.00,-0.12,100,NVDA,NVDA,12/19/25,176.0,PUT,421973136,-298.12,USD
2025-11-19T15:52:12+0000,Trade,Sell to Open,SELL_TO_OPEN,SPY   260102C00685000,Equity Option,Sold 1 SPY 01/02/26 Call 685.00 @ 6.90,690.00,1,690.00,-1.00,-0.12,100,SPY,SPY,1/02/26,685.0,CALL,421763361,688.88,USD
